Product Name, Year Month , Warehouse Inventory ,Inventory Cost Per Unit,Product ID
Perfect Fitness Perfect Rip Deck,201712,0,0.69517,1
Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29291,2
O'Brien Men's Neoprene Life Vest,201712,0,0.56531,3
Nike Men's Free 5.0+ Running Shoe,201712,1,1.26321,4
Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.47648,5
Nike Men's CJ Elite 2 TD Football Cleat,201712,0,0.69591,6
Field & Stream Sportsman 16 Gun Fire Safe,201712,0,1.39148,7
Pelican Sunstream 100 Kayak,201712,0,0.20291,8
Diamondback Women's Serene Classic Comfort Bi,201712,0,1.54601,9
ENO Atlas Hammock Straps,201712,0,0.48119,10
Nike Men's Comfort 2 Slide,201712,0,1.96183,11
adidas Youth Germany Black/Red Away Match Soc,201712,0,2.07809,12
Team Golf St. Louis Cardinals Putter Grip,201712,0,0.6607,13
LIJA Women's Eyelet Sleeveless Golf Polo,201712,0,1.50903,14
adidas Men's F10 Messi TRX FG Soccer Cleat,201712,0,1.66425,15
Glove It Women's Imperial Golf Glove,201712,0,1.56399,16
Glove It Imperial Golf Towel,201712,0,2.24724,17
Bridgestone e6 Straight Distance NFL Carolina,201712,0,1.06684,18
Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16158,19
Columbia Men's PFG Anchor Tough T-Shirt,201712,0,0.47667,20
Under Armour Women's Ignite Slide,201712,2,1.00809,21
Team Golf Tennessee Volunteers Putter Grip,201712,0,0.35118,22
Titleist Pro V1x High Numbers Personalized Go,201712,0,0.75101,23
Nike Men's Deutschland Weltmeister Winners Bl,201712,0,1.00566,24
Bridgestone e6 Straight Distance NFL San Dieg,201712,0,0.20643,25
Nike Women's Tempo Shorts,201712,0,1.62777,26
Team Golf Texas Longhorns Putter Grip,201712,2,2.24605,27
Hirzl Women's Soffft Flex Golf Glove,201712,0,0.5795,28
Clicgear 8.0 Shoe Brush,201712,0,1.39674,29
Hirzl Women's Hybrid Golf Glove,201712,0,1.06069,30
Team Golf Pittsburgh Steelers Putter Grip,201712,0,0.43135,31
Top Flite Women's 2017 XL Hybrid,201712,0,0.55428,32
Glove It Urban Brick Golf Towel,201712,0,0.70054,33
Nike Dri-FIT Crew Sock 6 Pack,201712,0,1.5948,34
